序号,性别,评论内容,回复数,点赞数,情感得分,情感分类,情感加权
48,男,回复 @微冰奶绿 :好,0,0,0.7679726041126407,正面,0.0
49,男,回复 @云淡枫倾_ :好[OK],0,0,0.9832708275500686,正面,0.0
50,女,快喝水,0,0,0.3966441082064447,负面,0.0
51,男,回复 @某只中二柠捏 :好的,0,0,0.8240659145051932,正面,0.0
52,男,回复 @みどりん绿兔 :好的,0,1,0.8834625278521858,正面,0.8834625278521858
53,男,回复 @鬼畜的贝壳 :喝水[鹿乃十周年动态_摸头][鹿乃十周年动态_摸头][鹿乃十周年动态_摸头],0,0,0.9329160777053842,正面,0.0
54,男,回复 @鬼畜的贝壳 :ദ്ദി˶˃ ᵕ ˂ )✧,0,0,0.6926529221652497,正面,0.0
55,男,回复 @星予ZL7 :好的[OK],0,0,0.5145158950258719,中性,0.0
56,男,回复 @耿秋云 :[打call],0,0,0.9529989119947608,正面,0.0
57,女,喝水了[脱单doge],0,0,0.1179488743236774,负面,0.0
58,男,回复 @jason李火旺 :好的,0,0,0.14604494860767447,负面,0.0
59,女,喝水,0,0,0.22417061239571323,负面,0.0
60,男,回复 @下饭企鹅 :好,0,0,0.482662156616375,中性,0.0
61,男,回复 @无敌旋风大刺猬 :好的,0,0,0.9711130509428147,正面,0.0
62,男,回复 @巴-巴-恩-波- :好[热],0,0,0.9941927896067976,正面,0.0
63,男,回复 @月九九_ :好~,0,0,0.40590249575692805,中性,0.0
64,男,回复 @琳源go :OK,0,0,0.406904657247661,中性,0.0
65,男,回复 @kalooya :[生气],0,0,0.06420223548794723,负面,0.0
66,男,回复 @微笑的水杯 :好,0,0,0.5379299193763117,中性,0.0
67,男,回复 @墨镜修狗_ :好,0,0,0.34381178431911874,负面,0.0
68,男,回复 @起名起的我有点想死了 :好的,0,0,0.7090388575083475,正面,0.0
69,女,喝水水～啦,0,0,0.6058149394544958,正面,0.0
70,男,回复 @小元_爱吃饭 :好~,0,0,0.5841505401233044,中性,0.0
71,女,喝酒！,0,0,0.5624999999999997,中性,0.0
72,女,喝水,0,0,0.22417061239571323,负面,0.0
73,男,快去喝尿[doge],0,0,0.10901155190205414,负面,0.0
74,男,多饮多尿，所以快去撒尿[doge],0,0,0.011606826748477128,负面,0.0
75,男,回复 @森罗阿斯塔 :[笑哭],0,1,0.9693780172200948,正面,0.9693780172200948
76,男,回复 @霧婉 :好,0,1,0.8360935315154843,正面,0.8360935315154843
77,男,回复 @时馆面面仙 :好,0,0,0.7672878663990418,正面,0.0
78,男,回复 @-椰椰不是耶耶- :醉了咋办[笑哭],0,0,0.42509434444160044,中性,0.0
79,女,去喝水,0,0,0.215194129632425,负面,0.0
80,男,回复 @所愿岁岁欢愉 :好,0,0,0.9346920008381078,正面,0.0
81,男,回复 @PSG的信努 :ok👌,0,0,0.27869245077023663,负面,0.0
82,男,回复 @岚棺 :好,0,0,0.5666350009812381,中性,0.0
83,女,看到我请去喝水 天冷了喝热水好吗？喝完喊一句“久旱逢甘霖 快哉快哉”[脱单doge],0,1,0.007909970043627812,负面,0.007909970043627812
84,女,喝水水。,0,0,0.5794148496051217,中性,0.0
85,男,回复 @一只豆土 :好,0,0,0.45383207628735767,中性,0.0
86,男,回复 @陈萱宜爱喝无糖乌龙茶 :久旱逢甘霖 快哉快哉[脱单doge],0,2,0.9477799492760393,正面,1.8955598985520785
87,女,你好，别喝水中毒了[笑哭],0,0,0.19344419380177336,负面,0.0
88,男,回复 @飞越边界_YUuKi :好的[笑哭],0,0,0.927467308754746,正面,0.0
89,男,回复 @星离离1 :好👌,0,1,0.33980410858062293,负面,0.33980410858062293
90,男,回复 @假鸡本饼安 :好的,0,1,0.8641473341223403,正面,0.8641473341223403
91,女,你好 今天喝水了吗,0,1,0.22769199345524105,负面,0.22769199345524105
92,男,回复 @小彦nru :喝了,0,1,0.7585051447872705,正面,0.7585051447872705
93,男,回复 @星离离1 :一杯,0,1,0.1946186111674736,负面,0.1946186111674736
94,女,喝水！,0,0,0.22417061239571323,负面,0.0
95,男,回复 @长命__ :好的,0,0,0.28180924126025286,负面,0.0
96,男,回复 @长命__ :女子的,0,0,0.36312031395202193,负面,0.0
97,男,喝了吗兄弟,0,0,0.23605191995392194,负面,0.0
98,男,回复 @筱悦zzo :好的,0,0,0.5406867040980188,中性,0.0
99,男,回复 @守护最色的猫猫头 :今天喝了[OK],0,0,0.7999414405972883,正面,0.0
100,男,回复 @---林某人---_ :好,0,0,0.3041868159041804,负面,0.0
101,男,回复 @Trainwastaken :好的,0,0,0.2250849865463218,负面,0.0
102,男,你也提醒我了[doge],0,0,0.42477430544780237,中性,0.0
103,男,回复 @我是名字Jack :注入灵魂（喝水版）[doge],0,0,0.9112493431894317,正面,0.0
104,男,回复 @距离la :一起喝,0,0,0.3082906906818913,负面,0.0
105,女,喝水！！,0,0,0.10357640301764992,负面,0.0
106,男,回复 @林玖zeronine :好,0,0,0.5406867040980188,中性,0.0
107,男,回复 @堕天使的落灰光环 :好的喵,0,0,0.6032449670410738,正面,0.0
108,男,回复 @玖霖ZERO :好,0,0,0.5145158950258719,中性,0.0
109,男,回复 @缓嘞个缓缓 :好,0,0,0.9549468239369364,正面,0.0
110,女,喝水,0,0,0.22417061239571323,负面,0.0
111,女,去，喝水[tv_doge],0,0,0.19798700644498424,负面,0.0
112,男,喝水,0,0,0.22417061239571323,负面,0.0
113,男,喝水啦,0,0,0.22417061239571323,负面,0.0
114,男,喝水~,0,0,0.22417061239571323,负面,0.0
115,男,去喝水,0,0,0.215194129632425,负面,0.0
116,女,喝水,0,0,0.22417061239571323,负面,0.0
117,女,喝水,0,0,0.22417061239571323,负面,0.0
118,女,喝水( ゜- ゜)つロ,0,0,0.18975846907490534,负面,0.0
119,女,drink～,0,0,0.5,中性,0.0
120,男,喝水,0,0,0.22417061239571323,负面,0.0
121,女,喝水 广东最近降温了记得保暖[给心心],0,0,0.6516514141544799,正面,0.0
122,男,喝水,0,0,0.22417061239571323,负面,0.0
123,男,喝水,0,0,0.22417061239571323,负面,0.0
124,女,新年好，去喝水,0,0,0.057057282252881425,负面,0.0
125,男,喝水,0,0,0.22417061239571323,负面,0.0
126,女,喝水,0,0,0.22417061239571323,负面,0.0
127,男,喝水,0,0,0.22417061239571323,负面,0.0
